country,n,mae_salary
gb,62.0,12753.756366496373
es,26.0,7347.626073876942
at,4.0,13760.427857234794
de,4.0,30618.487413584007
pl,4.0,93094.36803280754
nl,3.0,19790.07037498436
fr,2.0,19692.91543675041
